Date,High,Low,Close,SMA,14 DaysHigh,14 days Min,%K
11/16/23,43.400002,40.82,43.349998,,45.34,42.290001,-14.48018385
11/17/23,43.810001,42.560001,43.810001,,45.34,42.290001,-3.28050905
11/20/23,44.93,43.779999,44.740002,,45.34,42.290001,-3.124975962
11/21/23,44.66,43.299999,43.639999,,45.34,42.290001,1.462017544
11/22/23,44.630001,43.540001,43.669998,,45.34,42.290001,-5.847923977
11/24/23,44,43.610001,43.959999,,45.34,42.290001,-2.286601307
11/27/23,44.549999,43.650002,44.080002,,47.07,42.290001,-20.79208333
11/28/23,44.380001,43.66,44.23,,47.27,42.290001,-1.386138888
11/29/23,45.34,44.599998,44.939999,,47.27,42.290001,-10.69309123
11/30/23,45.09,44.41,44.700001,,47.27,42.290001,-0.434782703
12/1/23,44.360001,42.860001,43.740002,,47.27,42.290001,-27.48276096
12/4/23,43.310001,41.689999,42.349998,,47.27,42.290001,-0.961466346
12/5/23,42.290001,41.610001,41.919998,,48.16,42.290001,20.38835446
12/6/23,42.59,41.169998,41.27,,50.52,42.439999,81.06798084
12/7/23,42.439999,41.18,42.150002,,51.279999,42.439999,89.30039315
12/8/23,42.959999,41.810001,42.700001,,51.279999,42.959999,89.21348557
12/11/23,44.73,43.080002,44.540001,,51.279999,44.439999,92.28916034
12/12/23,44.439999,43.630001,44.040001,,51.279999,44.439999,46.62160815
12/13/23,44.720001,43.330002,44.57,,51.279999,44.720001,22.90912727
12/14/23,47.07,44.650002,45.18,,51.279999,46.23,13.43285765
12/15/23,47.27,45.669998,46.16,,51.279999,46.23,12.11342471
12/18/23,46.23,45.400002,45.689999,,51.279999,46.23,62.16772232
12/19/23,46.68,45.509998,46.66,,51.279999,46.68,64.34229683
12/20/23,46.950001,45.700001,45.759998,,51.279999,46.950001,56.32718462
12/21/23,47.119999,46.02,47.080002,,51.279999,47.119999,59.13977239
12/22/23,48.16,47.200001,48,,51.279999,47.16,52.74887857
12/26/23,50.52,48.709999,50.5,,51.279999,47.16,54.74863128
12/27/23,51.279999,50.189999,50.759998,,51.279999,46.419998,40.78215084
12/28/23,50.869999,50.16,50.389999,,50.869999,46.419998,52.65961436
12/29/23,50.57,49.77,50.25,,50.57,46.419998,71.40961436
1/2/24,49.380001,47.450001,47.799999,,49.380001,46.419998,72.34045213
1/3/24,47.810001,46.799999,47.049999,,49.169998,46.419998,81.25
1/4/24,47.16,45.240002,46.869999,,49.77,46.419998,83.90958777
1/5/24,47.830002,46.639999,46.889999,,50.299999,46.419998,90.02659574
1/8/24,48.759998,46.970001,48.450001,,50.299999,45.41,33.0799494
1/9/24,48.560001,47.799999,48.049999,,50.299999,43.990002,87.60317123
1/10/24,48.299999,46.939999,47.470001,,50.299999,43.82,13.46142936
1/11/24,47.84,46.73,47.639999,,50.299999,43.790001,29.70320851
1/12/24,47.669998,46.610001,47.119999,,50.299999,43.57,73.41788175
1/16/24,47.220001,46.380001,47.060001,,50.299999,43.139999,-48.64852447
1/17/24,46.419998,45.650002,46.060001,,50.299999,43.139999,-2.702410521
1/18/24,47.57,46.169998,46.740002,,50.299999,42.779999,-12.49910156
1/19/24,48.759998,46.439999,48.150002,,50.299999,42.779999,-146.1587575
1/22/24,49.169998,47.639999,48.220001,,50.299999,42.779999,#DIV/0!
1/23/24,48.939999,47.32,48.889999,,50.299999,42.779999,#DIV/0!
1/24/24,49.77,48.27,49.09,,50.299999,42.779999,#DIV/0!
1/25/24,50.299999,48.970001,49.549999,,50.299999,42.779999,#DIV/0!
1/26/24,45.41,43.349998,43.650002,,45.41,42.779999,#DIV/0!
1/29/24,43.990002,42.810001,43.84,,43.990002,42.779999,#DIV/0!
1/30/24,43.82,42.889999,42.919998,,43.82,42.779999,#DIV/0!
1/31/24,43.790001,42.360001,43.080002,,43.790001,42.779999,#DIV/0!
2/1/24,43.57,42.490002,43.360001,,43.57,42.779999,#DIV/0!
2/2/24,43.139999,41.599998,42.599998,,43.150002,42.779999,#DIV/0!
2/5/24,43.150002,42.43,42.77,,43.150002,42.779999,#DIV/0!
2/6/24,42.779999,42.139999,42.740002,,43.099998,42.779999,#DIV/0!
2/7/24,43.099998,42.549999,42.779999,,43.099998,42.970001,#DIV/0!
2/8/24,42.970001,42.330002,42.5,,42.970001,42.970001,#DIV/0!
